name,location,reviews,facilities,price,size,rules,stars
George Airport Apartments,"Anapausaios & Nikiforou Foka, Heraklio, 71601, Greece","8.1Very Good 1,155 reviews","['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$985
</span>",1076 feet²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],
Archontiki City Hotel,"Mylonoyianni 12, Chania, 73100, Greece",8.5Very Good 738 reviews,"['Non-smoking rooms', 'Free WiFi', 'Family rooms', '24-hour front desk', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 1,505
Current price
CAD 1,355
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3
Mardinik Hotel Apartments,"28th of October Str,7, Rethymno Town, Rethymno, 74100, Greece",9.4Wonderful 229 reviews,"['Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 921
</span>",40 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Pinelopi Beach Suites,"Eparchiaki Odos Georgioupolis-Kournas, Georgioupolis, 73007, Greece",9.0Wonderful 223 reviews,"['Non-smoking rooms', 'Restaurant', 'Free parking', 'Beachfront', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Original price
£1,374
Current price
£962
</span>",323 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3
Apollon Hotel Apartments,"Neas Fokeas St., Platanes, 74100, Greece",8.7Excellent 112 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$914
Current price
$854
</span>",323 feet²,['Pets\n\n\nPets are not allowed.'],
Marvel Deluxe Rooms,"Agiou Fanouriou 15, Heraklio, 71601, Greece","8.4Very Good 1,034 reviews","['Non-smoking rooms', 'Free WiFi', 'Free parking', 'Family rooms', '24-hour front desk', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
4,139 zł
Current price
3,809 zł
</span>",23 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Centro Storico,"Chatzimichali Ntaliani 16-18, Chania, 73132, Greece",8.9Excellent 119 reviews,"['Non-smoking rooms', 'Parking', 'Free WiFi', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
¥344,582
Current price
¥245,516
</span>",70 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Ammoudara Beach Hotel Apartments,"Ammoudara, Agios Nikolaos, 72100, Greece",8.1Very Good 501 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Free parking', 'Beachfront', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 948
Current price
€ 872
</span>",58 m²,['Pets\n\n\nPets are not allowed.'],3
Paloma Garden Hotel,"Irinis 38, Stalís, 70007, Greece",8.5Very Good 20 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Family rooms', 'Free parking', 'Non-smoking rooms', 'Restaurant', 'Bar']",,,['Pets\n\n\nPets are not allowed.'],
Elounda Krini Hotel,"Andrea Papandreou, Elounda, 72053, Greece",8.1Very Good 401 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
¥159,379
Current price
¥127,503
</span>",16 m²,['Pets\n\n\nPets are not allowed.'],3
Eleana Nature & Art,"Eparchiaki Odos Vrison-Sfakion 6, Hora Sfakion, 73011, Greece",9.4Wonderful 406 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
BZD 2,832
</span>",100 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",3
